Title,EID
"Humans and automation: Use, misuse, disuse, abuse",31171736
Hybrid intelligence,85069455009
Industrial frameworks for internet of things: A survey,85102736071
"Industrial internet of things: Challenges, opportunities, and directions",85049358359
Industry 4. 0 and cloud manufacturing: A comparative analysis,84994056562
Industry 4. 0: State of the art and future trends,85064005739
Information systems engineering with digital shadows: Concept and case studies,85086253990
Interdisciplinary data driven production process analysis for the internet of production,85052892358
Interdisciplinary engineering of cyberphysical production systems: Highlighting the benefits of a combined interdisciplinary modelling approach on the basis of an industrial case,85082075091
Internet of things in industries: A survey,84906834039
Investigating the applicability of in-network computing to industrial scenarios,85108233443
Ironies of automation,20843464
Learn-as-you-go: New ways of cloud-based micro-learning for the mobile web,84857303563
Missed opportunities: Measuring the untapped TLS support in the industrial Internet of Things,85133169932
Model-based design workflows for cyber-physical systems applied to an electric-mechanical coolant pump,85114308911
Model-driven development of a digital twin for injection molding,85086228557
Model-driven development of complex software: A research roadmap,34748861160
Model-driven digital twin construction: Synthesizing the integration of cyber-physical systems with their information systems,85096992990
Model-driven systems engineering for virtual product design,85075936044
Modeling language variability with reusable language components,85055591621
Modeling languages in industry 4. 0: An extended systematic mapping study,85074431675
Opportunities of sustainable manufacturing in industry 4. 0,84966671373
OWL Web Ontology Language Overview,1842550305
Peeking inside the black-box: A survey on explainable artificial intelligence,85053352477
Placing the operator at the centre of industry 4. 0 design: Modelling and assessing human activities within cyber-physical systems,85046130678
Prerequisites and incentives for digital information sharing in industry 4. 0-an international comparison across data types,85089532987
Privacy-preserving production process parameter exchange,85098082854
Private multi-hop accountability for supply chains,85090159235
Process prediction with digital twins,85121810059
"Production logistics visibility-perspectives, principles and prospects",85098635883
Reconfigurable smart factory for drug packing in healthcare industry 4. 0,85048029054
Reducing complexity with simplicity-usability methods for industry 4. 0,84986543578
Revisiting the privacy needs of real-world applicable company benchmarking,85100475088
Secure end-to-end sensing in supply chains,85090158616
Security considerations for collaborations in an industrial IoT-based lab of labs,85083694152
Semantic data management for experimental manufacturing technologies,85071382388
Service-oriented manufacturing: A new product pattern and manufacturing paradigm,79958785956
Smart agents in industrial cyber-physical systems,84977992593
Software language engineering in the large: Towards composing and deriving languages,85053063379
Tailoring onion routing to the internet of things: Security and privacy in untrusted environments,85074970478
The applications of industry 4. 0 technologies in manufacturing context: Asystematic literature review,85093949784
The digital shadow as enabler for data analytics in product life cycle management,85067176432
The ironies of automation: Still going strong at 30?,84875427820
The Physical Internet,84923153575
The quest for secure and privacy-preserving cloud-based industrial cooperation,85090151373
The road to accountable and dependable manufacturing,85121769302
The road to european digital sovereignty with gaia-x and IDSA,85103448059
To pull or not to pull: What is the question?,25144508112
Toward a physical internet: Meeting the global logistics sustainability grand challenge,85174698947
Towards a continuously improving composites manufacturing by employing the internet of production,85124263660
Towards a modeldriven architecture for interactive digital twin cockpits,85097375593
Towards an infrastructure enabling the internet of production,85070900711
Towards executing computer vision functionality on programmable network devices,85078956735
Towards in-network industrial feedback control,85056432829
Towards low latency industrial robot control in programmable data planes,85091982375
Towards privacy-preserving IoT systems using model driven engineering,85072779130
Towards socio-cyberphysical systems in production networks,84883852241
Towards sustainable systems engineering-integrating tools via component and connector architectures,85127185370
Transparent end-to-end security for publish/subscribe communication in cyber-physical systems,85107432740
Trust in automation: Integrating empirical evidence on factors that influence trust,84928311805
Web service composition via the customization of golog programs with user preferences,69049113038
What does explainable AI really mean? A new conceptualization of perspectives,85050245201
What happens when decision support systems fail?-The importance of usability on performance in erroneous systems,85062364168
When to collect what? Optimizing data load via process-driven data collection,85090776650
"Winning the robocup logistics league with fast navigation, precise manipulation, and robust goal reasoning",85076928933
