Title,EID
"Model-driven separation of concerns for service robotics, {eid: 85015193041, doi: 10.1145/3023147.3023151}>, <A reference architecture for deploying component-based robot software and comparison with existing tools, {eid: 85049632320, doi: 10.1109/IRC.2018.00026}>, <A reference architecture for satellite control systems, {eid: 85060922715, doi: 10.1007/s11334-019-00322-w}>, <Material-integrated cluster computing in selfadaptive robotic materials using mobile multi-agent systems, {eid: 85059562703, doi: 10.1007/s10586-018-02894-x}>, <Multipotent systems: Combining planning, self-organization, and reconfiguration in modular robot ensembles, {eid: 85058911392, doi: 10.3390/s19010017}>, <An implementing framework for Holonic manufacturing control with multiple robotvision stations, {eid: 67349215793, doi: 10.1016/j.engappai.2009.03.001}>, <A generic controller architecture for intelligent robotic systems, {eid: 78649317088, doi: 10.1016/j.rcim.2010.07.013}>, <Human exploration of mars, design reference architecture 5.0, {eid: 77952821004, doi: 10.1109/AERO.2010.5446736}>, <Lunar in-situ resource utilization in the ISECG human lunar exploration reference architecture",85103073332
MyBot: Cloud-based service robot using service-oriented architecture,85090182985
"None, {eid: 84892029522, doi: 10.1007/978-3-540-68899-0}>, <Realising interoperability between OPC UA and OCF",85056532049
"QoS-aware rule-based Trafficefficient multiobjective service selection in big data space, {eid: 85052636646, doi: 10.1109/ACCESS.2018.2867633}>, <Technology update on the unified architecture framework (UAF)",85099357704
Realizing the global edge cloud,85047301267
"Reliable cloud-based robot services, {eid: 84893564549, doi: 10.1109/IECON.2013.6700526}>, <Reliable, cloud-based communication for multi-robot systems, {eid: 84906516213, doi: 10.1109/TePRA.2014.6869142}>, <Cloud-based robotic system: Architecture framework and deployment models",85103072014
"Representation and exchange of knowledge about actions, objects, and environments in the RoboEarth framework",84892601570
"Research on SOA-based architecture of collaborative product commerce, {eid: 84864276075, doi: 10.1109/ISRA.2012.6219120}>, <Modeling and reusing robotic software architectures: The HyperFlex toolchain, {eid: 84929193296, doi: 10.1109/ICRA.2014.6907806}>, <RoboEarth, {eid: 79959502591, doi: 10.1109/MRA.2011.941632}>, <Server-sided automatic map transformation in RoboEarth",84890062940
"Resource management in fog/edge computing: A survey on architectures, infrastructure, and algorithms",85072407747
RESTful industrial communication with OPC UA,85012057836
"RoboEarth semantic mapping: A cloud enabled knowledge-based approach, {eid: 85027971073, doi: 10.1109/TASE.2014.2377791}>, <Rapyuta: A cloud robotics platform, {eid: 85027933046, doi: 10.1109/TASE.2014.2329556}>, <Cloud based centralized task control for human domain multi-robot operations, {eid: 84952982944, doi: 10.1007/s11370-015-0185-y}>, <Industry 5.0_A human-centric solution, {eid: 85070751081, doi: 10.3390/su11164371}>, <Consider the human work experience when integrating robotics in the workplace, {eid: 85063982477, doi: 10.1109/HRI.2019.8673139}>, <SmartCityWare: A service-oriented middleware for cloud and fog enabled smart city services",85028928287
ROS: An open-source robot operating system,77957352104
"Science, technology and innovation ecosystem transformation toward society 5.0",85070715292
Society 5.0: Aiming for a new human-centered society,85074406779
Society 5.0: For human security and well-being,85051077863
Solutions to scalability of blockchain: A survey,85079765706
"Survey on fog computing: Architecture, key technologies, applications and open issues",85029368813
The Hadoop distributed file system,77957838299
The Hadoop distributed file system: Architecture and design,70450136675
UAF: A generic OPC unified architecture framework,84872197061
Ultra-ne grain landscape-scale quantification of dryland vegetation structure with droneacquired structure-from-motion photogrammetry,84971645573
Using a systems of systems modeling approach for developing industrial Internet of Things applications,85028533320
"Using game development to teach software architecture, {eid: 80052679924, doi: 10.1155/2011/920873}>, <Multi-modal visual attention for robotics active vision systems_A reference architecture",84863922490
Working on the edge,85073281200
