,Frequency
IEEE Open Journal of the Communications Society,1
International Conference on Bangla Speech and Language Processing ICBSLP,1
IEEE Conference on Industrial Electronics and Applications ICIEA,1
IEEE ACIS International Conference on Software Engineering Research Management and Applications SERA,1
IEEE Transactions on Computers,1
IEEE Transactions on Engineering Management,1
IEEE Communications Surveys and Tutorials,1
IFIP WG International Conference on Product Lifecycle Management PLM,1
Progress in Nuclear Energy,1
Buildings,1
Journal of Construction Engineering and Management,1
Energy and Buildings,1
International Journal of Industrial Ergonomics,1
ASME International Design Engineering Technical Conferences and Computers and Information in Engineering Conference IDETC CIE,1
Total Quality Management and Business Excellence,1
Applied Sciences Switzerland,1
Frontiers in Medicine,1
Sustainability Switzerland,1
Advanced Engineering Informatics,1
Frontiers in Genetics,1
Journal of Geo Information Science,1
SPE Europec featured at EAGE Conference and Exhibition EURO,1
Monthly Notices of the Royal Astronomical Society,1
Journal of Advanced Research in Dynamical and Control Systems,1
Zeitschrift fur Geomorphologie,1
Acta Universitatis Carolinae Geographica,1
Geomorphology,1
IGRSM International Conference and Exhibition on Geospatial and Remote Sensing Geospatial Enablement IGRSM,1
Nippon kōshū eisei zasshi Japanese journal of public health,1
Journal of the Geological Society of India,1
Revista Lusofona de Educacao,1
Symposium on ModelEd TestEd TrustEd in honor of Ed Brinksma on the occasion of his birthday,1
Joint International Conference on Modelling and Simulation,1
Forests,1
Health Marketing Quarterly,1
Journal of Volcanology and Geothermal Research,1
International Conference on Electricity Distribution CIRED,1
Revista Brasileira de Ciencia do Solo,1
Journal of Psychopathology and Behavioral Assessment,1
Boletim de Ciencias Geodesicas,1
Optics and Lasers in Engineering,1
Engineering Geology for Society and Territory Volume Landslide Processes,1
Medical Physics,1
Journal of Ornithology,1
International Journal of Engineering and Technology UAE,1
Proceedings of the Ninth International Offshore and Polar Engineering Conference,1
Computer Aided Civil and Infrastructure Engineering,1
Public Health Reports,1
Urban and Regional Data Management UDMS Annual,1
Planetary and Space Science,1
Engenharia Sanitaria e Ambiental,1
Journal of Information Technology in Construction,1
Journal of Thermal Biology,1
Arab Gulf Journal of Scientific Research,1
Lecture Notes in Educational Technology,1
Australian Forestry,1
CIRIEC Espana Revista de Economia Publica Social y Cooperativa,1
International Conference on Information Visualisation IV,1
Biennial NordDesign Conference NordDesign,1
Journal of Oncology,1
Jisuanji Jicheng Zhizao Xitong Computer Integrated Manufacturing Systems CIMS,1
A Framework of Human Systems Engineering Applications and Case Studies,1
IET Collaborative Intelligent Manufacturing,1
International Conference on Smart Systems and Inventive Technology ICSSIT,1
Human Vaccines and Immunotherapeutics,1
IFIP WG Working Conference on Virtual Enterprises PRO VE,1
Scientific Visualization,1
International Conference on Engineering and Product Design Education E and PDE,1
International Journal of Pavement Research and Technology,1
Paddy and Water Environment,1
International Journal of Product Lifecycle Management,1
Geoinformation Week Broadening Geospatial Science and Technology,1
Journal of Supercomputing,1
Ecological Modelling,1
Journal of Infection and Chemotherapy,1
Proceedings of the Summer Simulation Conference,1
